Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	 Miles 	 Miles / Year 	 (IF CONDITION) Miles / Year 	Color	Driver	Warantee Miles	Covered?	New Car ID
FD06MTG001	FD	Ford	MTG	Mustang	06	8	" 40,326.80 "	" 4,744.33 "	" 5,040.85 "	Black	Smith	50000	Y	FDMTG06BLA001
FD06MTG002	FD	Ford	MTG	Mustang	06	8	" 44,974.80 "	" 5,291.15 "	" 5,621.85 "	White	McCall	50000	Y	FDMTG06WHI002
FD08MTG003	FD	Ford	MTG	Mustang	08	6	" 44,946.50 "	" 6,914.85 "	" 7,491.08 "	Green	Lyon	50000	Y	FDMTG08GRE003
FD08MTG004	FD	Ford	MTG	Mustang	08	6	" 37,558.80 "	" 5,778.28 "	" 6,259.80 "	Black	Jones	50000	Y	FDMTG08BLA004
FD08MTG005	FD	Ford	MTG	Mustang	08	6	" 36,438.50 "	" 5,605.92 "	" 6,073.08 "	White	Smith	50000	Y	FDMTG08WHI005
FD06FCS006	FD	Ford	FCS	Elantra	06	8	" 46,311.40 "	" 5,448.40 "	" 5,788.93 "	Green	Ewenty	75000	Y	FDFCS06GRE006
FD06FCS007	FD	Ford	FCS	Elantra	06	8	" 52,229.50 "	" 6,144.65 "	" 6,528.69 "	Green	Lyon	75000	Y	FDFCS06GRE007
FD09FCS008	FD	Ford	FCS	Elantra	09	5	" 35,137.00 "	" 6,388.55 "	" 7,027.40 "	Black	Howard	75000	Y	FDFCS09BLA008
FD13FCS009	FD	Ford	FCS	Elantra	13	1	" 27,637.10 "	" 18,424.73 "	" 27,637.10 "	Black	Smith	75000	Y	FDFCS13BLA009
FD13FCS010	FD	Ford	FCS	Elantra	13	1	" 27,534.80 "	" 18,356.53 "	" 27,534.80 "	White	Praulty	75000	Y	FDFCS13WHI010
FD12FCS011	FD	Ford	FCS	Elantra	12	2	" 19,341.70 "	" 7,736.68 "	" 9,670.85 "	White	Yousef	75000	Y	FDFCS12WHI011
FD13FCS012	FD	Ford	FCS	Elantra	13	1	" 22,521.60 "	" 15,014.40 "	" 22,521.60 "	Black	Vizzini	75000	Y	FDFCS13BLA012
